,path_len,threshold,dt,mis_val,knn,loc_method,path1_av,path2_av,path3_av,path_av_av,path1_b,path2_b,path3_b,path_b_av,path1_av_i,path2_av_i,path3_av_i,path3_av_i_av,path2_av_mean,path2_av_std
349,long_path,lp2,5s,ignore,12,gaus_80,"[13.362991997065322, 8.588808852330978]","[3.083721348333668, 1.1155375054481544]","[8.171139074950172, 2.64954059269931]",8.205950806783054,"[13.529042817634972, 10.782218570511766]","[2.5435559557791283, 1.2875481669816586]","[8.376844661061309, 4.759564158008076]",8.14981447815847,[14.168543770024474],[4.061154062268093],[9.479479012855645],9.23639228171607,3.083721348333668,1.1155375054481544
313,long_path,lp2,3s,ignore,6,gaus_80,"[13.706795317896223, 8.897713359969472]","[3.1704671166590828, 1.9836203680788405]","[8.531882954989968, 3.620848305538527]",8.469715129848424,"[14.413118994336624, 9.71447423876075]","[3.235797275330588, 3.270068054942454]","[8.79473631851722, 5.275303948801137]",8.814550862728144,[15.118963763291251],[4.340590617800954],[10.138574618422322],9.866042999838175,3.1704671166590828,1.9836203680788405
351,long_path,lp2,5s,ignore,12,gaus_top,"[13.445720460752419, 8.80119169456865]","[3.1796335535535536, 1.3407118560909983]","[9.041166283436214, 3.909335253497275]",8.555506765914062,"[13.677412000572001, 10.795463206941408]","[3.8638784868201537, 1.4673950680293268]","[8.442998796296298, 5.060262134954352]",8.661429761229483,[15.117348142722088],[5.7805951100266935],[10.833845180343744],10.577262811030842,3.1796335535535536,1.3407118560909983
308,long_path,lp2,3s,ignore,3,average,"[14.39123447107107, 8.49330094715284]","[3.18503732235986, 2.0407242868839255]","[8.490631350308643, 3.366836129722142]",8.688967714579858,"[13.882094000724864, 9.834031066169125]","[3.5875112442442445, 2.7622010773626324]","[8.707854472934473, 5.149618483277323]",8.72581990596786,[15.64369683772179],[4.2301347598065675],[10.070931105744606],9.981587567757655,3.18503732235986,2.0407242868839255
312,long_path,lp2,3s,ignore,6,average,"[13.900240573385885, 8.488776267134416]","[3.1932010321759265, 2.1291533262472244]","[8.57453048734568, 3.3316678199919734]",8.55599069763583,"[14.295876759345553, 9.612214755423699]","[2.782681603445552, 3.024471692807669]","[8.756523721509971, 3.9125897149555753]",8.61169402810036,[15.21183559476815],[4.047637126508391],[10.117611833367437],9.79236151821466,3.1932010321759265,2.1291533262472244
314,long_path,lp2,3s,ignore,6,gaus_normal,"[13.727151422473487, 8.700790711064718]","[3.194810709114381, 2.003917971667068]","[8.566769196700639, 3.565692241988357]",8.49624377609617,"[14.293181847150498, 9.548314607166951]","[2.966470928527443, 3.121256760453802]","[8.890212921621469, 4.987280122381207]",8.716621899099804,[15.083596992599988],[4.160353505790395],[10.159775807243694],9.801242101878026,3.194810709114381,2.003917971667068
348,long_path,lp2,5s,ignore,12,average,"[13.85160537510427, 7.997115561836223]","[3.2002811854979973, 1.3722225917516884]","[8.237282060056582, 2.550879110773388]",8.429722873552949,"[13.822008276470918, 8.261827870554166]","[2.554172324720553, 1.548619165444768]","[8.308674308127571, 3.8236942925093413]",8.228284969773014,[14.550106909963137],[3.6650076384509505],[9.55021996523239],9.255111504548829,3.2002811854979973,1.3722225917516884
309,long_path,lp2,3s,ignore,3,gaus_80,"[14.327852114904237, 8.729250766114301]","[3.2065662903033614, 2.02252784482527]","[8.335861322763519, 3.719736772121534]",8.623426575990372,"[14.206268602863014, 9.621668451952269]","[3.762865819914592, 2.876563806323486]","[8.709382854542906, 6.546906645402958]",8.892839092440171,[15.689436388866246],[4.570453372327309],[10.037477950541051],10.099122570578205,3.2065662903033614,2.02252784482527
310,long_path,lp2,3s,ignore,3,gaus_normal,"[14.325342310877721, 8.613437848877842]","[3.20708006084928, 2.046872750791857]","[8.431867198997573, 3.5995296135053767]",8.654763190241525,"[14.162094974311888, 9.664892186765176]","[3.7005681496326104, 2.87314666059248]","[8.782297587854336, 6.184399283815141]",8.88165357059961,[15.649420957437986],[4.434700141203835],[10.048000700702577],10.044040599781466,3.20708006084928,2.046872750791857
383,long_path,lp2,10s,ignore,12,gaus_top,"[14.070783060171282, 9.030694073339312]","[3.230701123456791, 1.8716645928637268]","[7.498907172839505, 2.9741574615911444]",8.266797118822526,"[12.382673408408408, 9.407538241514056]","[4.2465738463463465, 1.546551868690692]","[7.308733600823045, 6.048033323789752]",7.979326951859266,[15.077085711266822],[5.151164733400067],[9.789878703703703],10.006043049456864,3.230701123456791,1.8716645928637268
367,long_path,lp2,10s,penalty,12,gaus_top,"[12.725309709376042, 7.381184527405024]","[3.2435136159492814, 1.945321985084175]","[9.795146061728396, 7.75427480312931]",8.587989795684573,"[10.019769519519519, 6.592364682586337]","[4.560980400400401, 2.4086552684735127]","[9.167946378600822, 10.173382239019574]",7.916232099506914,[14.11737812112112],[6.052688185185184],[11.133493946502059],10.434520084269453,3.2435136159492814,1.945321985084175
311,long_path,lp2,3s,ignore,3,gaus_top,"[14.593686199774776, 8.72984981088061]","[3.3470923299424427, 2.597581685403024]","[8.409040797530865, 3.9512447606294376]",8.783273109082694,"[15.469579769079427, 10.411618642794652]","[5.136011069319319, 3.475287244057775]","[9.338221042524006, 7.270995318785953]",9.98127062697425,[16.43614076998322],[5.961078692756859],[10.70091658915412],11.032712017298064,3.3470923299424427,2.597581685403024
347,long_path,lp2,5s,ignore,6,gaus_top,"[13.359995209876542, 9.125228201994094]","[3.359629053553553, 1.9636908736472865]","[8.152855158436214, 3.505808344673496]",8.290826473955436,"[13.665735536369702, 9.231728429330026]","[4.108316820153487, 1.4594392599947905]","[7.8626292181069966, 6.9421722530563095]",8.545560524876729,[14.812104575713807],[5.785593316733399],[10.252770382958122],10.28348942513511,3.359629053553553,1.9636908736472865
317,long_path,lp2,3s,ignore,12,gaus_80,"[13.645289309325875, 8.616868803916748]","[3.3614872028965435, 1.8442855273481817]","[8.59545196503058, 3.7485031000975697]",8.534076159084334,"[14.247855396981732, 9.161090590205982]","[3.6538037016487395, 2.311423931694603]","[8.74577144482387, 4.6503834384393885]",8.882476847818113,[14.935296457165723],[4.660434264153919],[10.326753005995831],9.974161242438491,3.3614872028965435,1.8442855273481817
