,path_len,threshold,dt,mis_val,knn,loc_method,path1_av,path2_av,path3_av,path_av_av,path1_b,path2_b,path3_b,path_b_av,path1_av_i,path2_av_i,path3_av_i,path3_av_i_av
13,short_path,lp2,3s,penalty,12,gaus_80,"[18.217512547661293, 11.83839346923351]","[10.290467187074887, 3.250279740251632]","[8.114502159487953, 5.5486153581744]",12.20749396474138,"[12.805987471827608, 7.940012755287128]","[4.352980261494818, 2.5406068788042164]","[8.357822800427085, 4.625800852214855]",8.505596844583172,[20.06874409021244],[12.203783758141135],[12.61629113517846],14.962939661177344
14,short_path,lp2,3s,penalty,12,gaus_normal,"[18.01147604923917, 11.550612632826171]","[10.651928799707362, 2.9265645631091823]","[8.006406434430511, 5.317095256836381]",12.223270427792349,"[13.087068048599908, 8.41820311042417]","[4.552122988215637, 2.7781625223668307]","[7.841150687807741, 3.938649314020222]",8.493447241541096,[19.58004126505785],[12.453200396695186],[12.21387003735687],14.749037233036637
15,short_path,lp2,3s,penalty,12,gaus_top,"[19.556995213713716, 12.39972920025509]","[9.401385468885552, 3.3185189988511685]","[9.64821391041041, 5.755191218921902]",12.86886486433656,"[14.333575585585585, 11.156063130161144]","[3.374156551551552, 1.3521323514443984]","[7.824851643309977, 4.206148196313574]",8.510861260149037,[23.222050064864867],[12.785925255455457],[13.616826070670673],16.541600463663666
16,short_path,lp2,3s,ignore,1,average,"[15.59177235810811, 9.07499037924623]","[6.104734487153819, 3.202417749133268]","[9.61464896154488, 4.342412938598528]",10.43705193560227,"[13.007816271271272, 14.049796276265669]","[3.808980515515516, 1.7405970931777626]","[7.17803876276276, 4.052204138247803]",7.998278516516517,[18.06923661281281],[7.549483597197198],[12.565981916449783],12.728234042153263
17,short_path,lp2,3s,ignore,1,gaus_80,"[15.59177235810811, 9.07499037924623]","[6.104734487153819, 3.202417749133268]","[9.61464896154488, 4.342412938598528]",10.43705193560227,"[13.007816271271272, 14.049796276265669]","[3.808980515515516, 1.7405970931777626]","[7.17803876276276, 4.052204138247803]",7.998278516516517,[18.06923661281281],[7.549483597197198],[12.565981916449783],12.728234042153263
18,short_path,lp2,3s,ignore,1,gaus_normal,"[15.59177235810811, 9.07499037924623]","[6.104734487153819, 3.202417749133268]","[9.61464896154488, 4.342412938598528]",10.43705193560227,"[13.007816271271272, 14.049796276265669]","[3.808980515515516, 1.7405970931777626]","[7.17803876276276, 4.052204138247803]",7.998278516516517,[18.06923661281281],[7.549483597197198],[12.565981916449783],12.728234042153263
19,short_path,lp2,3s,ignore,1,gaus_top,"[15.59177235810811, 9.07499037924623]","[6.104734487153819, 3.202417749133268]","[9.61464896154488, 4.342412938598528]",10.43705193560227,"[13.007816271271272, 14.049796276265669]","[3.808980515515516, 1.7405970931777626]","[7.17803876276276, 4.052204138247803]",7.998278516516517,[18.06923661281281],[7.549483597197198],[12.565981916449783],12.728234042153263
20,short_path,lp2,3s,ignore,3,average,"[16.66035091491491, 8.813445871092334]","[5.076851164748082, 2.7473508817324546]","[8.715615715548884, 5.450117003387744]",10.150939265070626,"[13.684302528528528, 6.823521591966044]","[3.2074161978645317, 1.5038900254886125]","[7.869628635301967, 4.183947133384584]",8.253782453898342,[18.14043937057057],[6.502521450250249],[11.690353045845844],12.111104622222221
21,short_path,lp2,3s,ignore,3,gaus_80,"[15.925419758129893, 9.143728720700354]","[4.854240690538129, 2.471168086192557]","[8.463317700564035, 5.698475826901241]",9.747659383077353,"[13.602220052348418, 6.7175121411767895]","[3.2864291927978946, 1.3504344827660315]","[7.926867412015355, 3.554498314871252]",8.271838885720555,[17.661880174843958],[6.417167180460676],[11.845850869557406],11.974966074954013
22,short_path,lp2,3s,ignore,3,gaus_normal,"[16.01755334315364, 9.033073614772482]","[4.937361968898743, 2.4740081830900666]","[8.584325249939658, 5.6530090108791]",9.846413520664013,"[13.480196036901793, 6.733657556426657]","[3.154344094959278, 1.3167809319687966]","[8.013526884166714, 3.7635449978266395]",8.216022338675929,[17.713286965048432],[6.4087531831310685],[11.948050143984762],12.023363430721423
23,short_path,lp2,3s,ignore,3,gaus_top,"[15.491861609359356, 9.579506932515091]","[4.664889492075408, 2.6830104646364505]","[9.602427044878212, 4.886021408232294]",9.919726048770992,"[12.697660528528528, 6.668226872430702]","[4.945332931264601, 1.6208732982366747]","[7.968458329996662, 3.5618267781840562]",8.537150596596597,[17.777976627227225],[7.425875075875877],[13.0801160986987],12.7613226006006
24,short_path,lp2,3s,ignore,6,average,"[15.39741952602603, 7.962946489959604]","[5.116384154821486, 3.3153239031515414]","[8.65178403365866, 5.4640679796575045]",9.721862571502058,"[12.364335528528526, 6.226799710357467]","[3.6655962679346032, 1.5620259292835834]","[7.802963635301967, 3.4896709711603595]",7.944298477255033,[17.119547976576577],[6.926552223923926],[11.338166544310976],11.794755581603829
25,short_path,lp2,3s,ignore,6,gaus_80,"[15.13638502207454, 8.702460193340851]","[4.736883449040034, 3.0731674100041424]","[8.932228029649869, 5.782119118563001]",9.601832166921481,"[11.407558607364617, 5.843774331348346]","[3.6092098375617616, 1.6162864362953602]","[8.251690652574682, 4.197071768783602]",7.756153032500354,[16.838136114951883],[6.85246899077792],[12.020089875545285],11.90356499375836
26,short_path,lp2,3s,ignore,6,gaus_normal,"[15.2388037737613, 8.446899495410191]","[4.9929320505190296, 3.0619568745967647]","[8.956989536156735, 5.64823666679916]",9.729575120145688,"[12.00732467945401, 6.064345647317356]","[3.5513196416927157, 1.466095077944678]","[8.39405375499254, 4.0482445320602745]",7.9842326920464215,[16.81999406806708],[6.936757337309173],[11.895723342540379],11.884158249305543
27,short_path,lp2,3s,ignore,6,gaus_top,"[13.986343692692692, 7.821503952064446]","[4.834064441775111, 2.9648335020701557]","[11.12817691041041, 6.131362083194375]",9.982861681626071,"[11.071034528528527, 3.6236896340548803]","[4.190241142809479, 1.5805547413709147]","[7.117717726059394, 2.8286469277376693]",7.459664465799133,[16.302663494294297],[8.509423117183852],[15.174643647447448],13.328910086308532
28,short_path,lp2,3s,ignore,12,average,"[14.990022303803803, 7.834390318529474]","[5.316934696488155, 3.4530499559769683]","[8.8242274479688, 5.627201154708752]",9.71039481608692,"[11.60107132732733, 7.1785238995067955]","[3.6738209538705386, 1.6160211776753062]","[7.875506588672002, 6.123423668422256]",7.716799623289957,[16.229095763963965],[6.92829725870871],[11.510678303036368],11.556023775236348
29,short_path,lp2,3s,ignore,12,gaus_80,"[15.0764861399602, 8.26602833175438]","[4.878627599200025, 2.944834433177059]","[9.107675312909173, 6.011246640898124]",9.6875963506898,"[10.53178409383992, 5.871937830031566]","[3.477026400969414, 1.6702122975917406]","[6.995523815488466, 5.949889008576966]",7.001444770099266,[16.05641413584332],[6.422554670326257],[12.02678660206435],11.501918469411308
30,short_path,lp2,3s,ignore,12,gaus_normal,"[15.119852773655579, 8.22914607897635]","[5.095038610607792, 3.008375651252629]","[8.66550783576343, 6.078088205998925]",9.626799740008934,"[10.84143896428659, 6.429388210179186]","[3.34416209445468, 1.5125555185118882]","[7.035862864662775, 5.986376767361013]",7.0738213078013485,[16.1560656384828],[6.5194513422103855],[11.673464342488682],11.449660441060622
31,short_path,lp2,3s,ignore,12,gaus_top,"[14.73512710810811, 7.7182699020876235]","[5.12448649924925, 3.0040136640984834]","[11.930490296629962, 5.2807858380791775]",10.596701301329107,"[11.359395687687687, 3.9538462733955115]","[4.500899597931267, 1.496856524615596]","[7.7843677260593935, 2.313742938981102]",7.881554337226116,[17.39800080820821],[7.745573456256257],[14.466868215815817],13.203480826760094
32,short_path,lp2,5s,penalty,1,average,"[12.862841584084084, 4.454299549975433]","[9.401847030030032, 4.134927235914601]","[13.047668461461459, 3.5451913481523034]",11.770785691858526,"[8.908786283783787, 3.396111590746188]","[5.495825230230231, 2.952198505408147]","[9.316116774274274, 4.731780808199948]",7.90690942942943,[15.366662870870872],[10.675181895895896],[16.827654039539542],14.289832935435436
33,short_path,lp2,5s,penalty,1,gaus_80,"[12.862841584084084, 4.454299549975433]","[9.401847030030032, 4.134927235914601]","[11.266658600100099, 4.411362301367154]",11.177115738071405,"[8.908786283783787, 3.396111590746188]","[5.495825230230231, 2.952198505408147]","[9.316116774274274, 4.731780808199948]",7.90690942942943,[15.366662870870872],[10.675181895895896],[13.713159553720384],13.251668106829051
34,short_path,lp2,5s,penalty,1,gaus_normal,"[12.862841584084084, 4.454299549975433]","[9.401847030030032, 4.134927235914601]","[11.266658600100099, 4.411362301367154]",11.177115738071405,"[8.908786283783787, 3.396111590746188]","[5.495825230230231, 2.952198505408147]","[9.316116774274274, 4.731780808199948]",7.90690942942943,[15.366662870870872],[10.675181895895896],[13.713159553720384],13.251668106829051
35,short_path,lp2,5s,penalty,1,gaus_top,"[12.862841584084084, 4.454299549975433]","[9.401847030030032, 4.134927235914601]","[11.266658600100099, 4.411362301367154]",11.177115738071405,"[8.908786283783787, 3.396111590746188]","[5.495825230230231, 2.952198505408147]","[9.316116774274274, 4.731780808199948]",7.90690942942943,[15.366662870870872],[10.675181895895896],[13.713159553720384],13.251668106829051
36,short_path,lp2,5s,penalty,3,average,"[10.660674417417416, 4.245804470960206]","[8.465093672672674, 3.450752292019949]","[12.427683961461454, 2.431308582117701]",10.517817350517182,"[7.36678279279279, 5.18754948839988]","[5.470500538038032, 2.890050113169695]","[7.916151774274273, 4.2204657585917715]",6.917811701701698,[13.419624460960957],[10.290553540540536],[15.769842647647646],13.160006883049713
37,short_path,lp2,5s,penalty,3,gaus_80,"[9.999695897069985, 4.695139257669634]","[8.54371111771433, 3.4351151501461286]","[11.133594173864184, 3.249887387179462]",9.892333729549499,"[9.176433611171406, 4.171766437073745]","[4.931373735709273, 2.9070148754998586]","[9.240480371163077, 4.846864863463221]",7.782762572681253,[13.936198046933612],[10.625293012026923],[13.283712209507144],12.615067756155893
