,path_len,threshold,dt,mis_val,knn,loc_method,path1_av,path2_av,path3_av,path_av_av,path1_b,path2_b,path3_b,path1_av_i,path2_av_i,path3_av_i
383,short_path,lp2_n100,10s,ignore,12,gaus_top,"[27.24048013213213, 12.048387471471468]","[5.895308069069071, 5.544405930930931]","[9.561469332332335, 0.5338938928928947]",14.232419177844513,"[22.029679474474474, 15.66747617117117]","[4.352443738738736, 3.5092215765765737]","[3.465912682682683, 0.17190094094094244]",[29.224534633633635],[9.04280362062062],[11.590514367367367]
384,long_path,lp,3s,penalty,1,average,"[16.655097125675677, 8.097338044144811]","[5.845587423561062, 3.7644439198561646]","[10.520831622839507, 7.041634175996427]",11.00717205735875,"[17.836106428006953, 13.604222523790275]","[6.924874998844999, 6.956972629673737]","[9.34103976761075, 12.259280821091773]",[20.75639571034788],[9.252833687106337],[11.425672345441608]
385,long_path,lp,3s,penalty,1,gaus_80,"[15.144992180989325, 7.13534048816289]","[5.183509214502002, 3.6921844815091]","[7.591662055555556, 4.2374002101758705]",9.306721150348961,"[16.019664007340673, 11.518116575256144]","[6.344786321321321, 6.045620423676524]","[6.085059322301027, 5.2832415483207305]",[18.010253913428087],[8.602907822605939],[8.03604801569892]
386,long_path,lp,3s,penalty,1,gaus_normal,"[15.144992180989325, 7.13534048816289]","[5.183509214502002, 3.6921844815091]","[7.591662055555556, 4.2374002101758705]",9.306721150348961,"[16.019664007340673, 11.518116575256144]","[6.344786321321321, 6.045620423676524]","[6.085059322301027, 5.2832415483207305]",[18.010253913428087],[8.602907822605939],[8.03604801569892]
387,long_path,lp,3s,penalty,1,gaus_top,"[15.144992180989325, 7.13534048816289]","[5.183509214502002, 3.6921844815091]","[7.591662055555556, 4.2374002101758705]",9.306721150348961,"[16.019664007340673, 11.518116575256144]","[6.344786321321321, 6.045620423676524]","[6.085059322301027, 5.2832415483207305]",[18.010253913428087],[8.602907822605939],[8.03604801569892]
388,long_path,lp,3s,penalty,3,average,"[17.189004364914915, 7.374888496384265]","[6.390129365227726, 4.53720348204372]","[11.460108551851851, 6.657146921576928]",11.679747427331497,"[16.063465779463673, 11.148938378893757]","[6.488952527912529, 7.3034002478158655]","[9.871944030131825, 10.79690495085587]",[20.842072246987744],[9.192271817294216],[12.151465281725415]
389,long_path,lp,3s,penalty,3,gaus_80,"[15.513771453466118, 7.482430543302331]","[5.519629481945162, 3.7264059891345327]","[7.36707935713426, 3.7376633121797043]",9.466826764181846,"[14.892268517769732, 9.924045250960559]","[6.875506348029401, 5.2644486036384475]","[7.1274607989474115, 5.741646238467868]",[18.46797286998684],[8.955703636078047],[7.938716102746001]
390,long_path,lp,3s,penalty,3,gaus_normal,"[15.515326651904523, 7.449742467995559]","[5.418926394028243, 3.7188203717495285]","[7.358282571711843, 3.621877893897479]",9.430845205881537,"[14.929096646886249, 9.94822950290764]","[6.539864481687371, 5.116710504161323]","[7.0329214391743315, 5.389085164448888]",[18.408841505039266],[8.614850669038459],[7.845517020191934]
391,long_path,lp,3s,penalty,3,gaus_top,"[15.589864609117452, 7.58472733290283]","[6.220006157620121, 4.4900168378965155]","[7.652142025, 3.9970265452633202]",9.820670930579192,"[16.421404980829887, 9.924695326365802]","[7.63302132922396, 5.397681515540184]","[7.048313412135541, 7.361831012809313]",[18.715582738304725],[10.13090148993467],[8.555523247783876]
392,long_path,lp,3s,penalty,6,average,"[17.268187570470467, 7.408708224177036]","[7.1092502756443965, 4.761769595087353]","[16.01111823055555, 7.205560584101263]",13.462852025556804,"[16.830308206364258, 10.637120792687963]","[6.676449701201202, 4.426760579795116]","[12.430825442561204, 10.656924167972125]",[20.55736233842048],[9.524017003432919],[16.76212942112823]
