,x,y,x_pf,y_pf,time,av_time
71,390,195,406.28397540753633,188.31672160147355,2021-04-08 18:49:00,2021-04-08 18:49:02.000000000
72,417,152,414.5598738428157,149.9615374014245,2021-04-08 18:49:05,2021-04-08 18:49:07.000000000
73,407,169,416.08428700527054,180.6144496979906,2021-04-08 18:49:10,2021-04-08 18:49:12.499999936
74,410,155,410.97965688981856,151.26398598686427,2021-04-08 18:49:15,2021-04-08 18:49:17.250000000
75,343,235,374.0184535444582,191.68151870516488,2021-04-08 18:49:20,2021-04-08 18:49:21.166666624
76,403,150,386.80042833068387,152.86642361131132,2021-04-08 18:49:25,2021-04-08 18:49:26.944444416
77,399,160,390.94962186690316,144.92409166592705,2021-04-08 18:49:30,2021-04-08 18:49:32.125000000
78,396,163,388.8794120665108,144.66054790525274,2021-04-08 18:49:35,2021-04-08 18:49:36.500000000
79,398,155,391.5553563505291,143.4157350436632,2021-04-08 18:49:40,2021-04-08 18:49:41.777777749
80,459,152,429.86499222971185,146.5705209485494,2021-04-08 18:49:45,2021-04-08 18:49:46.500000000
81,390,188,417.3464807021785,180.10249259712728,2021-04-08 18:49:50,2021-04-08 18:49:51.166666667
82,356,204,384.4374505241018,197.3002731558193,2021-04-08 18:49:55,2021-04-08 18:49:57.166666667
83,372,202,374.0880244593126,202.6806313640774,2021-04-08 18:50:00,2021-04-08 18:50:02.666666752
84,391,187,382.54787107835233,199.05532680484288,2021-04-08 18:50:05,2021-04-08 18:50:05.000000000
85,392,192,386.00753261402224,198.30474103833325,2021-04-08 18:50:10,2021-04-08 18:50:13.000000128
86,392,192,385.7457489734087,197.76816962332106,2021-04-08 18:50:15,2021-04-08 18:50:17.500000128
87,386,213,378.63442694349334,208.0160645487784,2021-04-08 18:50:20,2021-04-08 18:50:21.000000000
88,475,169,423.06530746693704,183.26402717084795,2021-04-08 18:50:25,2021-04-08 18:50:25.500000000
89,366,224,377.3714689677206,202.9061438396846,2021-04-08 18:50:30,2021-04-08 18:50:31.666666752
90,572,173,472.69681751104025,179.86036796061518,2021-04-08 18:50:35,2021-04-08 18:50:39.000000000
91,384,180,425.967897941051,181.8168153296603,2021-04-08 18:50:40,2021-04-08 18:50:42.833333376
92,389,189,403.767206290869,190.45101060535927,2021-04-08 18:50:45,2021-04-08 18:50:46.000000000
93,385,199,388.87134122852933,200.04062888869885,2021-04-08 18:50:50,2021-04-08 18:50:52.375000000
94,418,180,405.53408478649965,191.0626144754989,2021-04-08 18:50:55,2021-04-08 18:50:56.416666624
35,486,158,488.4078219037926,148.70303401494309,2021-04-08 18:52:00,2021-04-08 18:52:02.347222187
36,488,170,487.36613350292873,167.88079310000782,2021-04-08 18:52:05,2021-04-08 18:52:06.500000000
37,492,173,490.13059380547725,175.28670322963112,2021-04-08 18:52:10,2021-04-08 18:52:11.777777749
38,493,181,490.95721903941023,177.75914903963803,2021-04-08 18:52:15,2021-04-08 18:52:15.916666752
39,488,174,488.2720792593813,178.73842426539125,2021-04-08 18:52:20,2021-04-08 18:52:21.333333333
40,488,178,486.74833999243174,176.73339943924725,2021-04-08 18:52:25,2021-04-08 18:52:25.999999936
41,482,174,482.6130203498095,178.23910723942544,2021-04-08 18:52:30,2021-04-08 18:52:32.875000064
42,500,167,501.47845410686335,178.39389472127522,2021-04-08 18:52:35,2021-04-08 18:52:37.333333333
43,465,170,478.09237909904346,174.29049963524662,2021-04-08 18:52:40,2021-04-08 18:52:42.666666701
44,473,159,470.37344784488107,167.24781182571644,2021-04-08 18:52:45,2021-04-08 18:52:46.666666667
45,504,158,487.4227633366653,147.5377612209259,2021-04-08 18:52:50,2021-04-08 18:52:52.625000000
46,488,168,476.7546540244741,170.2597929541455,2021-04-08 18:52:55,2021-04-08 18:52:57.000000000
47,524,166,504.8165495733613,166.79552110679148,2021-04-08 18:53:00,2021-04-08 18:53:01.208333312
48,498,177,503.53301313225217,174.27303436182288,2021-04-08 18:53:05,2021-04-08 18:53:08.083333376
49,490,183,496.485219908677,177.69159782363948,2021-04-08 18:53:10,2021-04-08 18:53:12.416666709
50,495,174,494.5648933146079,176.7799716950107,2021-04-08 18:53:15,2021-04-08 18:53:17.166666667
51,518,160,509.94750056012236,163.8795097690618,2021-04-08 18:53:20,2021-04-08 18:53:22.541666624
52,519,161,514.5047915989529,158.66990819931289,2021-04-08 18:53:25,2021-04-08 18:53:27.145833344
53,486,168,489.9121211709039,174.7255708177987,2021-04-08 18:53:30,2021-04-08 18:53:31.900000000
54,493,183,493.02611605313797,177.939212787216,2021-04-08 18:53:35,2021-04-08 18:53:36.666666667
55,509,152,504.80860383191754,159.20956857983873,2021-04-08 18:53:40,2021-04-08 18:53:42.555555499
56,499,151,502.43989355973105,147.17839414049897,2021-04-08 18:53:45,2021-04-08 18:53:46.875000000
57,499,173,503.42454662758695,167.4894494133385,2021-04-08 18:53:50,2021-04-08 18:53:51.500000000
58,492,170,496.72864395513704,175.9838229214244,2021-04-08 18:53:55,2021-04-08 18:53:57.208333312
