,x,y,x_pf,y_pf,time,av_time
24,369,206,450.206653650093,181.26517604326182,2021-04-08 18:46:00,2021-04-08 18:46:02.250000000
25,372,202,402.2037900687418,193.40649065537343,2021-04-08 18:46:05,2021-04-08 18:46:06.999999744
26,367,219,379.91350763674427,213.7207626036949,2021-04-08 18:46:10,2021-04-08 18:46:11.500000000
27,390,198,387.4382695236852,207.4393359581195,2021-04-08 18:46:15,2021-04-08 18:46:17.000000000
28,327,247,361.40108675776355,222.43313175453358,2021-04-08 18:46:25,2021-04-08 18:46:26.000000000
29,397,176,384.45538223396306,204.40469589983428,2021-04-08 18:46:30,2021-04-08 18:46:31.666666667
30,538,163,466.7142408219959,177.69339562676453,2021-04-08 18:46:35,2021-04-08 18:46:35.666666667
31,419,174,458.989069421528,180.3564224652955,2021-04-08 18:46:40,2021-04-08 18:46:42.000000000
32,401,181,446.4089133931864,182.49165180695542,2021-04-08 18:46:45,2021-04-08 18:46:46.444444416
33,425,180,450.57252621934344,181.69739581597256,2021-04-08 18:46:50,2021-04-08 18:46:52.500000051
34,407,180,441.1820596901913,182.3440019326997,2021-04-08 18:46:55,2021-04-08 18:46:57.819444437
59,363,234,361.14189247296713,236.0678975180426,2021-04-08 18:48:00,2021-04-08 18:48:02.166666752
60,357,244,370.47975704609223,250.30844081950593,2021-04-08 18:48:05,2021-04-08 18:48:07.416666624
61,372,202,374.0670833939727,223.8527268116133,2021-04-08 18:48:10,2021-04-08 18:48:12.000000000
62,387,201,384.3852649251835,211.3691743384108,2021-04-08 18:48:15,2021-04-08 18:48:17.333333376
63,391,187,393.1364634418568,201.5295722440922,2021-04-08 18:48:20,2021-04-08 18:48:22.000000000
64,583,159,491.62772431902727,178.31581534635546,2021-04-08 18:48:25,2021-04-08 18:48:26.000000000
65,470,168,496.4032619974034,180.59971361996955,2021-04-08 18:48:30,2021-04-08 18:48:33.000000000
66,393,199,455.8235096374294,181.94922862411755,2021-04-08 18:48:35,2021-04-08 18:48:37.000000000
67,375,210,396.2796839948428,205.9938556522373,2021-04-08 18:48:40,2021-04-08 18:48:41.250000000
68,357,219,376.8912402718697,217.76139722052335,2021-04-08 18:48:45,2021-04-08 18:48:47.500000000
69,385,203,386.62966112104533,215.6902066740091,2021-04-08 18:48:50,2021-04-08 18:48:52.375000064
70,495,164,454.0097727653414,172.97447732079394,2021-04-08 18:48:55,2021-04-08 18:48:56.666666667
71,397,173,444.0232370502709,180.44336970587577,2021-04-08 18:49:00,2021-04-08 18:49:02.444444501
72,572,173,505.61740395958003,177.0898182986587,2021-04-08 18:49:05,2021-04-08 18:49:06.999999744
73,366,225,436.85148774775007,181.63831264046726,2021-04-08 18:49:10,2021-04-08 18:49:13.000000000
74,392,180,441.0740561028655,180.4379451877756,2021-04-08 18:49:15,2021-04-08 18:49:17.750000000
75,416,179,445.8855034755188,181.19068711757131,2021-04-08 18:49:20,2021-04-08 18:49:22.000000000
76,455,188,466.60722032753665,177.18089890670223,2021-04-08 18:49:25,2021-04-08 18:49:26.500000000
77,413,194,449.612889956678,180.4611366603305,2021-04-08 18:49:30,2021-04-08 18:49:31.666666624
78,425,203,446.47345155178175,190.2443567613522,2021-04-08 18:49:35,2021-04-08 18:49:37.250000000
79,448,162,468.539612668096,174.0166768755185,2021-04-08 18:49:40,2021-04-08 18:49:43.500000000
80,488,175,486.2086999420262,179.08198284866225,2021-04-08 18:49:45,2021-04-08 18:49:47.500000000
81,437,167,477.18808550406544,180.89574089933797,2021-04-08 18:49:50,2021-04-08 18:49:52.500000000
82,385,216,415.2854248005192,192.50547944659803,2021-04-08 18:49:55,2021-04-08 18:49:57.000000256
83,368,211,385.5888075346658,208.6412420428714,2021-04-08 18:50:00,2021-04-08 18:50:01.750000128
84,357,219,376.8870950118262,216.21597498687274,2021-04-08 18:50:05,2021-04-08 18:50:06.000000000
85,357,219,373.017080611218,219.9989021235695,2021-04-08 18:50:10,2021-04-08 18:50:12.000000000
86,355,233,366.3284012759523,226.6250560862404,2021-04-08 18:50:15,2021-04-08 18:50:17.000000128
87,357,219,366.9362869835504,224.60601856022757,2021-04-08 18:50:20,2021-04-08 18:50:21.666666496
88,412,177,392.35923216405945,197.1880353753724,2021-04-08 18:50:25,2021-04-08 18:50:27.111111083
89,482,172,446.394988239057,177.45675246868063,2021-04-08 18:50:30,2021-04-08 18:50:33.250000000
90,361,212,402.9329436378018,193.27437535310776,2021-04-08 18:50:35,2021-04-08 18:50:37.249999872
91,373,202,388.3611849300232,208.55467847473903,2021-04-08 18:50:40,2021-04-08 18:50:40.000000000
92,367,219,381.4553605288388,215.5841490899092,2021-04-08 18:50:45,2021-04-08 18:50:46.666666752
93,392,185,389.9526589620993,205.4759203046931,2021-04-08 18:50:50,2021-04-08 18:50:52.624999936
94,412,180,410.26027582621134,189.49773808369105,2021-04-08 18:50:55,2021-04-08 18:50:55.666666667
35,492,174,492.3575271561358,175.73457125708376,2021-04-08 18:52:00,2021-04-08 18:52:02.600000000
36,488,172,502.34401537779553,180.44413653561952,2021-04-08 18:52:05,2021-04-08 18:52:07.229166656
37,458,181,491.0277064095065,182.0553000857778,2021-04-08 18:52:10,2021-04-08 18:52:12.944444501
38,485,176,500.1929733109423,181.4512023541095,2021-04-08 18:52:15,2021-04-08 18:52:17.600000000
39,473,180,497.9962244631101,182.54759860172902,2021-04-08 18:52:20,2021-04-08 18:52:22.016666674
40,492,173,509.6844608674516,181.35311971972072,2021-04-08 18:52:25,2021-04-08 18:52:26.999999915
41,484,174,512.6264270894712,182.13074415289648,2021-04-08 18:52:30,2021-04-08 18:52:32.416666624
42,489,176,516.5137988020133,181.07347240530905,2021-04-08 18:52:35,2021-04-08 18:52:37.000000000
43,462,165,508.00602567002454,182.31768456425567,2021-04-08 18:52:40,2021-04-08 18:52:41.800000000
44,540,166,537.0847666465081,177.2958531472247,2021-04-08 18:52:45,2021-04-08 18:52:47.166666667
45,483,164,519.1408400196966,180.4128496517488,2021-04-08 18:52:50,2021-04-08 18:52:51.833333376
46,485,176,521.0986814257809,180.5934547610857,2021-04-08 18:52:55,2021-04-08 18:52:57.333333333
47,441,178,506.1903861936427,182.4579079725523,2021-04-08 18:53:00,2021-04-08 18:53:03.000000000
48,509,168,521.897037672959,179.51268926796854,2021-04-08 18:53:05,2021-04-08 18:53:08.000000000
49,488,173,523.0105614386833,180.66850169261392,2021-04-08 18:53:10,2021-04-08 18:53:11.555555584
50,491,161,530.1373787654655,171.7277163022166,2021-04-08 18:53:15,2021-04-08 18:53:17.666666667
51,490,162,531.123457395597,169.11139764477116,2021-04-08 18:53:20,2021-04-08 18:53:21.500000000
52,494,176,527.0769609343416,177.37515350212152,2021-04-08 18:53:25,2021-04-08 18:53:26.777777749
53,502,176,528.5573903281866,180.06679727155102,2021-04-08 18:53:30,2021-04-08 18:53:32.500000000
54,494,179,526.9329179964686,182.28917408560375,2021-04-08 18:53:35,2021-04-08 18:53:37.055555499
55,504,157,532.7985785323763,173.1816908913929,2021-04-08 18:53:40,2021-04-08 18:53:41.500000000
56,512,159,536.2626691121743,174.43429089544748,2021-04-08 18:53:45,2021-04-08 18:53:45.500000000
57,487,179,529.1313272738528,179.63482087297032,2021-04-08 18:53:50,2021-04-08 18:53:53.166666667
58,478,172,524.1738731246775,180.8667444683262,2021-04-08 18:53:55,2021-04-08 18:53:56.750000000
