,x,y,x_pf,y_pf,time,av_time
30,416,179,410.3250881161466,184.01143654985665,2021-04-08 18:46:35,2021-04-08 18:46:37.666666667
31,401,177,406.4820190654833,181.22252831696574,2021-04-08 18:46:40,2021-04-08 18:46:41.875000000
32,411,180,407.5675863610501,179.56030780873022,2021-04-08 18:46:45,2021-04-08 18:46:48.400000000
33,394,182,399.7844486221498,179.6595088351284,2021-04-08 18:46:50,2021-04-08 18:46:51.800000000
34,463,177,431.5714728788473,176.7452134347018,2021-04-08 18:46:55,2021-04-08 18:46:56.250000000
59,361,212,361.68391425266054,211.43674150850643,2021-04-08 18:48:00,2021-04-08 18:48:02.666666752
60,368,211,365.44548420945273,211.18657200266603,2021-04-08 18:48:05,2021-04-08 18:48:06.500000000
61,385,216,375.2571224675778,211.766110347296,2021-04-08 18:48:10,2021-04-08 18:48:12.333333248
62,391,187,383.237606187811,197.26491563668355,2021-04-08 18:48:15,2021-04-08 18:48:17.000000000
63,436,174,411.17660981758775,184.74554237511583,2021-04-08 18:48:20,2021-04-08 18:48:23.000000000
64,393,199,401.5148050645216,190.62943045011676,2021-04-08 18:48:25,2021-04-08 18:48:29.000000000
65,357,219,377.38317885584587,204.20301599443965,2021-04-08 18:48:30,2021-04-08 18:48:30.000000000
66,388,220,381.4243789404437,211.15086836954595,2021-04-08 18:48:35,2021-04-08 18:48:37.500000000
67,385,216,381.80689077084924,211.4517586934815,2021-04-08 18:48:40,2021-04-08 18:48:40.000000000
68,354,214,366.1145233467349,212.03152039276526,2021-04-08 18:48:45,2021-04-08 18:48:46.166666752
69,367,211,365.60801316927154,209.99784213754478,2021-04-08 18:48:50,2021-04-08 18:48:52.333333333
70,383,211,376.63642008479485,210.38802886603997,2021-04-08 18:48:55,2021-04-08 18:48:58.166666667
71,581,169,459.129661313926,183.32285831863175,2021-04-08 18:49:00,2021-04-08 18:49:00.000000000
72,400,193,433.9125494584465,187.62113585341166,2021-04-08 18:49:05,2021-04-08 18:49:08.333333248
73,419,150,426.0790868672991,167.23690338181916,2021-04-08 18:49:10,2021-04-08 18:49:12.291666560
74,386,213,405.3222627702023,188.76077403060515,2021-04-08 18:49:15,2021-04-08 18:49:16.000000000
75,438,176,422.50129696519036,181.08169960980942,2021-04-08 18:49:20,2021-04-08 18:49:21.333333376
76,524,192,473.6677620169091,184.29170468469695,2021-04-08 18:49:25,2021-04-08 18:49:27.000000000
77,417,152,446.412563718619,165.25719869802697,2021-04-08 18:49:30,2021-04-08 18:49:31.500000000
78,413,153,429.7088189935147,158.04124820094756,2021-04-08 18:49:35,2021-04-08 18:49:37.416666624
79,411,160,420.03678112866896,159.0613383450214,2021-04-08 18:49:40,2021-04-08 18:49:41.958333312
80,462,165,442.58097218042064,159.89485962231385,2021-04-08 18:49:45,2021-04-08 18:49:46.375000000
81,381,179,411.03346445291277,170.73051474692807,2021-04-08 18:49:50,2021-04-08 18:49:52.333333376
82,353,219,380.93610912956945,198.82327677696372,2021-04-08 18:49:55,2021-04-08 18:49:58.500000000
83,372,202,374.6600678295065,199.12172409735575,2021-04-08 18:50:00,2021-04-08 18:50:01.000000000
84,430,189,403.20571677378643,193.92796488430977,2021-04-08 18:50:05,2021-04-08 18:50:07.500000000
85,393,199,397.8824417429121,195.93496599617526,2021-04-08 18:50:10,2021-04-08 18:50:13.000000000
86,431,188,413.50858836546854,190.1224022969172,2021-04-08 18:50:15,2021-04-08 18:50:16.166666624
87,391,205,400.37022251649614,197.50412366456965,2021-04-08 18:50:20,2021-04-08 18:50:23.500000000
88,430,188,414.8386347531647,191.51022176775734,2021-04-08 18:50:25,2021-04-08 18:50:27.499999872
89,412,194,412.94057578844007,192.436289265627,2021-04-08 18:50:30,2021-04-08 18:50:32.250000128
90,394,190,400.1845779194265,191.28708064693555,2021-04-08 18:50:35,2021-04-08 18:50:37.750000128
91,397,214,398.0627308351726,202.1153491470157,2021-04-08 18:50:40,2021-04-08 18:50:42.333333333
92,382,192,387.72800858331743,196.1582903836587,2021-04-08 18:50:45,2021-04-08 18:50:48.500000000
93,343,229,363.8457170497652,212.13000801380124,2021-04-08 18:50:50,2021-04-08 18:50:52.333333376
94,479,172,418.95449716498877,188.1788223604097,2021-04-08 18:50:55,2021-04-08 18:50:57.666666667
35,489,173,488.29200901559926,170.5953115069173,2021-04-08 18:52:00,2021-04-08 18:52:01.666666752
36,487,172,486.32746956980736,168.5110355481747,2021-04-08 18:52:05,2021-04-08 18:52:05.624999936
37,490,177,487.71780251856205,169.8486888537513,2021-04-08 18:52:10,2021-04-08 18:52:12.083333312
38,491,159,489.4746514288571,161.77031643283146,2021-04-08 18:52:15,2021-04-08 18:52:17.166666667
39,489,167,488.7949663945576,163.69130254053675,2021-04-08 18:52:20,2021-04-08 18:52:21.888888832
40,492,173,490.25859508505084,167.34610460304157,2021-04-08 18:52:25,2021-04-08 18:52:26.562499968
41,512,165,502.0208961955623,164.38195998957616,2021-04-08 18:52:30,2021-04-08 18:52:32.083333376
42,472,165,487.68359924883555,163.05846864800412,2021-04-08 18:52:35,2021-04-08 18:52:36.166666688
43,464,171,473.76095192194015,164.4871760433904,2021-04-08 18:52:40,2021-04-08 18:52:40.500000000
44,549,156,513.542181957497,157.56552916373772,2021-04-08 18:52:45,2021-04-08 18:52:46.000000000
45,483,155,497.2509372142623,153.3434477161664,2021-04-08 18:52:50,2021-04-08 18:52:52.666666688
46,603,188,547.7550858038784,169.28879037815943,2021-04-08 18:52:55,2021-04-08 18:52:57.000000256
47,496,154,521.3397741464285,159.1649141151781,2021-04-08 18:53:00,2021-04-08 18:53:01.500000000
48,499,174,509.6175345420579,165.1952536360427,2021-04-08 18:53:05,2021-04-08 18:53:07.000000000
